Nom;Surnom;Type;Age;Rôle;Secteur;Adresse;Latitude;Longitude;Apparence;Vêtements;Tic / Objet;Portrait;Famille;Branche;Parenté
Anne Girard;;Humain;47;Dentiste;La Baie;200, Rue Bagot;48.3382;-70.8855;Carré brun, blouse blanche;Blouse dentaire;Miroir dentaire;portraits/74-anne-girard-web.webp;Girard;;Épouse de Louis Girard
Armand Lacroix;;Humain;62;Directeur de salon funéraire;La Baie;30, Rue des Vingt-et-un;48.3135;-70.8562;Complet sombre, calme;Complet noir;Mouchoir blanc;portraits/138-armand-lacroix-web.webp;Lacroix;;Neveu de Lucien et Thérèse Lacroix
Bernard Tremblay;Bunker;Humain;51;Survivaliste — abri anti-tout;La Baie;Lieu-dit : chemin forestier du Petit-Parc;48.305;-70.91;Masque à gaz artisanal;Masque et combinaison;Conserves 1998;portraits/150-bernard-tremblay-web.webp;Tremblay;bunker;Célibataire — vend des stocks à Dévon
Bertrand Gagnon;;Humain;61;Courtier immobilier;La Baie;47, Rue de la Terrasse-Bellevue;48.32908;-70.89375;Bronzé, cheveux gominés;Manteau Michael Kors;BMW clé;portraits/61-bertrand-gagnon-web.webp;Gagnon;immobilier;Ex-mari de Sylvie Gagnon
Big Jo Bérubé;Big Jo;Humain;33;Homme de main — sécurité parallèle;La Baie;314, Chemin des Chutes;48.32615;-70.9239;Massif, crâne rasé;Hoodie noir;Bras croisés;portraits/120-big-jo-berube-web.webp;Bérubé;;Cousin de Kevin et Jessy Bérubé — travaille pour Dévon
Bobby Gagnon;La Pieuvre;Humain;52;Receleur — pièces et électro;La Baie;2410, Chemin Saint-Anicet;48.3304;-70.9326;Tempes rasées, chaîne en or;Veste de cuir;Clés de garage;portraits/111-bobby-gagnon-web.webp;Gagnon;motards;Cousin de Karine et Rock Gagnon
Carl Dubé;;Humain;33;Mécanicien automobile;La Baie;262, Rue de la Colline;48.3418;-70.885;Barbouillé d’huile, sourire;Salopette garage;Chiffon rouge;portraits/57-carl-dube-web.webp;Dubé;;Frère de Mélanie Dubé
Chantal Gauthier;;Humain;43;Franchisée Tim Hortons;La Baie;600, Rue Victoria;48.344;-70.8805;Visière, tablier brun;Uniforme Tim Hortons;Double-double;portraits/135-chantal-gauthier-web.webp;Gauthier;Tim;Célibataire
Chantal Lavoie;La Biche;Humain;29;Sans emploi fixe;La Baie;245, Rue Albert;48.341464;-70.878709;Mascara panda;Faux suède fourrure pelée;Sacoche 3 cells cassés;portraits/08-chantal-lavoie-web.webp;Lavoie;Chantal;Fille de Gaétan
Chloé Bouchard;Chlo;Humain;24;Streameuse — créatrice de contenu;La Baie;12, Rue des Mésanges;48.317817;-70.897957;Cheveux roses;Jogging;Laptop;portraits/31-chloe-bouchard-web.webp;Bouchard;Chloé;Fille de Nathalie
Cindy Lavoie;Cin;Humain;26;Estafette — livraisons de quartier;La Baie;90, Rue Prince-Albert;48.31435;-70.8612;Fatiguée, doudoune;Doudoune, sac à dos;Cell jetable;portraits/116-cindy-lavoie-web.webp;Tremblay;Gratien;Fille de Manon Lavoie — estafette de Gratien
Claude Lavoie;;Humain;70;Retraité — ex-animateur radio;La Baie;212, Rue Bagot;48.33808;-70.88605;Cheveux blancs coiffés, élégant;Veston rouge théâtral;Microphone souvenir;portraits/55-claude-lavoie-web.webp;Lavoie;Michel;Père de Michel Lavoie
Corinne Noël;La Corneille;Humain;44;Taxidermiste clandestine;La Baie;88, Rue Saint-Denis;48.3174;-70.86125;Pâle, vêtements noirs, corbeau;Noir intégral;Corbeau empaillé;portraits/146-corinne-noel-web.webp;Noël;;Célibataire — fournit Sam Aubin en motifs
Cécile Truchon;;Humain;74;Retraitée — rang;La Baie;1450, Route du Petit-Parc;48.3052;-70.9077;Permanente, veste de trucker;Veste de trucker;Cafetière percolateur;portraits/163-cecile-truchon-web.webp;Truchon;;Mère d’Yvan Truchon
Céline Pedneault;;Humain;64;Mareyeuse;La Baie;20, Avenue du Port;48.33035;-70.8946;Visage brûlé par le vent;Ciré et tuque;Filet à raccommoder;portraits/106-celine-pedneault-web.webp;Pedneault;;Épouse de Réjean Pedneault
Dave Cloutier;Ti-Coune;Humain;19;Livreur à vélo;La Baie;65, Rue des Bouleaux;48.344466;-70.898222;Maigre, skate;Hoodie Trapstar;iPhone craqué;portraits/16-dave-cloutier-web.webp;Cloutier;;Fils de Manon
Diane Tremblay;;Humain;56;Infirmière auxiliaire;La Baie;145, Avenue Lavoie;48.32663;-70.875839;Cheveux courts châtains, lunettes;Cardigan;Thermos citron;portraits/34-diane-tremblay-web.webp;Lavoie;JP;Mère de JP
Dominic Audet;Dom;Humain;38;Chauffeur de taxi;La Baie;340, Boulevard de la Grande-Baie Nord;48.3399;-70.8809;Casquette, hoodie;Hoodie;Clés de taxi;portraits/107-dominic-audet-web.webp;Audet;;Célibataire
Dévon Boucher;Le Snake;Humain;34;Entrepreneur — récupération et démolition;La Baie;2400, Chemin Saint-Anicet;48.330065;-70.932306;Tatouage serpent cou;Veste cuir capuchon gris;Cure-dent;portraits/09-devon-boucher-web.webp;Boucher;;Fils de Fernande Boucher — frère d’Éric
Fatima Al-Hassan;Fatima Poutine;Humain;34;Restauratrice — camion de cuisine fusion;La Baie;500, Rue des Croisières;48.34146;-70.879181;Hijab olive;Tablier tahini;Truck Poutine shawarma;portraits/29-fatima-al-hassan-web.webp;Al-Hassan;;Épouse de Karim
Fernand Côté;Ti-Fern;Humain;72;Retraité — ex-dockeur Port-Alfred;La Baie;425, Rue Victoria;48.3429;-70.8805;Casquette, visage buriné;Manteau marin;Pipe éteinte;portraits/68-fernand-cote-web.webp;Côté;Victoria;Époux de Lucie Côté
Fernande Boucher;Maman Snake;Humain;62;Retraitée — ex-tri à la casse;La Baie;2400, Chemin Saint-Anicet;48.3301;-70.9322;Cheveux gris, manteau usé;Manteau de casse;Clés de hangar;portraits/161-fernande-boucher-web.webp;Boucher;;Mère de Dévon, Éric et tante de Normand
France Boivin;;Humain;55;Fleuriste;La Baie;140, Rue Victoria;48.341;-70.8792;Cheveux blond-gris, tablier;Tablier de boutique;Bouquet de lys;portraits/108-france-boivin-web.webp;Boivin;;Sœur de Maxime Boivin
François Harvey;Ti-Hydro;Humain;45;Monteur de ligne — Hydro-Québec;La Baie;300, Boulevard de la Grande-Baie Nord;48.3402;-70.881;Casque orange, moustache;Manteau Hydro-Québec;Gants isolants;portraits/80-francois-harvey-web.webp;Harvey;;Célibataire
Frère Ézéchiel;Ézéchiel;Humain;71;Prédicateur de rue;La Baie;21, Rue des Vingt-et-un;48.3134;-70.8559;Barbe blanche en bataille;Sandwich-board;Panneau FIN DU MONDE;portraits/145-frere-ezechiel-web.webp;Lacroix;;Célibataire — harcèle Lucien Lacroix
Félix Otis;L’Homme-Fjord;Humain;38;Nageur hivernal obsessionnel;La Baie;Lieu-dit : baie des Ha! Ha!;48.3495;-70.808;Cheveux mouillés, combinaison;Wetsuit à moitié;Parle à l’eau;portraits/147-felix-otis-web.webp;Otis;;Neveu de Jeanne Otis
Gaston Ha! Ha!;Cédez;Humain;60;Collectionneur — panneaux Cédez;La Baie;Lieu-dit : près de la Pyramide des Ha! Ha!;48.3155;-70.8584;Ciré jaune, sourire maniaque;Ciré jaune;Répliques de Cédez;portraits/148-gaston-ha-ha-web.webp;Ha! Ha!;;Célibataire — vit pour la Pyramide
Gaston Pelletier;Ti-Gas;Humain;74;Ex-patron de bar;La Baie;84, Rue Saint-Denis;48.3171;-70.8609;Nez rouge, tablier de bar;Tablier de tavernier;Torchon et verre;portraits/167-gaston-pelletier-web.webp;Pelletier;bar;Père d’Hugo Pelletier — grand-père de Léa
Gaétan Lavoie;Ti-Gaétan;Humain;55;Journalier — sans emploi fixe;La Baie;247, Rue Albert;48.34162;-70.87885;Maigre, moustache jaune;Manteau de chasse usé;Bière Molson Export;portraits/44-gaetan-lavoie-web.webp;Lavoie;Chantal;Père de Chantal Lavoie
Gilles Bergeron;La Fouine;Humain;70;Gardien de nuit — ex-policier;La Baie;600, Avenue du Port;48.33068;-70.89535;Moustache blanche;Manteau gardien;50 clés;portraits/32-gilles-bergeron-web.webp;Bergeron;;Père d’Isabelle
Ginette Roy;Gigi;Humain;62;Intervenante sociale au CLSC de La Baie;La Baie;74, Rue du Docteur-Desgagné;48.343426;-70.883055;Ronde, cheveux gris courts;Manteau CIUSSS;Sandwichs, Narcan;portraits/17-ginette-roy-web.webp;Roy;;Épouse de Réjean
Gisèle Truchon;;Humain;48;Caissière — dépanneur de route;La Baie;1452, Route du Petit-Parc;48.30528;-70.9078;Permanente, maquillage fort;Chandail léopard;Lotto 6/49;portraits/62-gisele-truchon-web.webp;Truchon;;Conjointe d’Yvan Truchon
Gratien Tremblay;Crackhouse;Humain;45;Dealer quartier;La Baie;88, Rue Prince-Albert;48.314288;-70.86115;Nerveux;Manteau cuir noir râpé;5 min = 45 min;portraits/04-gratien-tremblay-web.webp;Tremblay;Gratien;Fils d’Aline Tremblay — conjoint de Linda
Guy Tremblay;Ti-Guy Indienne;Humain;39;Contrebandier de cigarettes — relais;La Baie;1454, Route du Petit-Parc;48.3054;-70.9079;Maigre, nerveux, casquette;Manteau d’hiver cheap;Pontiac Grand Prix 2;portraits/113-guy-tremblay-web.webp;Truchon;;Relais d’Yvan Truchon
Gérard Lapointe;Gerry;Humain;68;Concierge retraité;La Baie;700, Rue du Docteur-Tanguay;48.339438;-70.877395;Moustache grise;Chemise travail bleue;Clés immeuble 7405;portraits/37-gerard-lapointe-web.webp;Lapointe;Marco;Père de Marco
Hassan Benali;;Humain;20;Commis — dépanneur;La Baie;1310, Rue Victoria;48.3453;-70.8796;Barbe naissante, polo dépanneur;Polo dépanneur;Caisse de chips;portraits/103-hassan-benali-web.webp;Benali;;Fils d’Ahmed et Nadia Benali
Hugo Pelletier;Le Boss;Humain;49;Propriétaire de bar — Le Coin;La Baie;86, Rue Saint-Denis;48.3172;-70.861;Crâne rasé, chaîne;Chemise noire de bar;Torchon d’épaule;portraits/72-hugo-pelletier-web.webp;Pelletier;bar;Fils de Gaston Pelletier — époux de Sarah
Hélène Blackburn;;Humain;63;Directrice générale — Hôpital de La Baie;La Baie;74, Rue du Docteur-Desgagné;48.3442;-70.8838;Lunettes, robe marine;Tailleur hôpital;Badge direction;portraits/124-helene-blackburn-web.webp;Blackburn;;Sœur de Lise Blackburn
Hélène Chicoine;;Humain;70;Retraitée;La Baie;120, Rue de la Fabrique;48.3427;-70.87858;Petite, manteau trop grand;Manteau d’hiver;Sac d’épicerie;portraits/59-helene-chicoine-web.webp;Chicoine;;Mère de Réal Chicoine
Isabelle Bergeron;;Humain;44;Enseignante au primaire;La Baie;604, Avenue du Port;48.33082;-70.8955;Cheveux bruns attachés, calme;Cardigan, badge école;Sacoche de copies;portraits/49-isabelle-bergeron-web.webp;Bergeron;;Fille de Gilles Bergeron
Jacques Maltais;;Humain;63;Conseiller municipal — arrondissement La Baie;La Baie;100, Rue de la Fabrique;48.3422;-70.8782;Cheveux blancs, veston;Veston marine;Épinglette de ville;portraits/84-jacques-maltais-web.webp;Maltais;;Célibataire
Jean-Philippe Lavoie;JP;Humain;31;Journalier au noir — ex-journaliste au Quotidien;La Baie;427, Rue Victoria;48.343056;-70.881309;Maigre, cernes profonds, ongles noirs de suie;Hoodie noir Gildan troué;Trie mégots, roule marbrées;portraits/01-jean-philippe-lavoie-web.webp;Lavoie;JP;Fils de Robert et Diane
Jeanne Gagnon;;Humain;82;Retraitée — héritière immobilière;La Baie;43, Rue de la Terrasse-Bellevue;48.3289;-70.8935;Perles, manteau cher;Manteau de laine;Canne en nacre;portraits/166-jeanne-gagnon-web.webp;Gagnon;immobilier;Mère de Sylvie Gagnon
Jeanne Otis;;Humain;66;Bibliothécaire — bibliothèque municipale;La Baie;100, Rue Victoria;48.3409;-70.8795;Cheveux blancs, cardigan;Cardigan et lunettes chaîne;Tampon dateur;portraits/99-jeanne-otis-web.webp;Otis;;Célibataire
Jessica Paradis;Jess;Humain;27;Locataire — préposée d’hôtel;La Baie;45, Rue de la Terrasse-Bellevue;48.3291;-70.8934;Mèches, maquillage;Uniforme hôtel;Clés du 4½;portraits/93-jessica-paradis-web.webp;Paradis;;Locataire de Sylvie Gagnon
Jessy Bérubé;Ti-Jess;Humain;24;Journalier — entrepôt;La Baie;312, Chemin des Chutes;48.3262;-70.92372;Massif, casquette plate;Hoodie oversized;AirPods cassé;portraits/53-jessy-berube-web.webp;Bérubé;;Fils de Lucie Bérubé — frère de Kevin
Johanne Tremblay;Jo;Humain;38;Coiffeuse;La Baie;92, Rue Prince-Albert;48.312001;-70.860475;Cheveux rouge;Manteau léopard;Ciseaux;portraits/21-johanne-tremblay-web.webp;Tremblay;Johanne;Conjointe de Sylvain Gagné
Josée Langlois;;Humain;42;Secrétaire de chantier;La Baie;158, Rue Cimon;48.34264;-70.88043;Cheveux blonds, lunettes;Parka de chantier;Classeur de factures;portraits/60-josee-langlois-web.webp;Langlois;;Épouse de Steve Langlois
Julie Martel;;Humain;32;Guide — croisières du Fjord;La Baie;510, Rue des Croisières;48.3418;-70.8789;Solaire, coupe pratique;Veste de skipper;Talkie bateau;portraits/96-julie-martel-web.webp;Martel;;Célibataire
Justine Fortin;;Humain;37;Patrouilleuse — ski Bec-Scie;La Baie;Lieu-dit : centre de ski Bec-Scie;48.3042;-70.9882;Veste rouge, lunettes de ski;Veste de patrouille;Talkie des pistes;portraits/139-justine-fortin-web.webp;Fortin;;Nièce d’Yves et Pauline Fortin
Karim Al-Hassan;;Humain;36;Cuisinier — camion de rue;La Baie;502, Rue des Croisières;48.34158;-70.8793;Barbe soignée, sourire;Tablier tahini;Couteau de chef;portraits/48-karim-al-hassan-web.webp;Al-Hassan;;Époux de Fatima Al-Hassan
Karine Desrosiers;Zoom;Humain;33;Archiviste — plaques d’immatriculation;La Baie;340, Boulevard de la Grande-Baie Nord;48.33985;-70.8808;Objectif énorme, van rouillée;Parka, van;Cahier de plaques;portraits/149-karine-desrosiers-web.webp;Desrosiers-Simard;;Cousine d’Anik Desrosiers
Karine Gagnon;K-Town;Humain;52;Présidente de club de motards;La Baie;3900, Route de L'Anse-à-Benjamin;48.380184;-70.881773;Courte grise, 5'10 musclée;Veste cuir Les Louves;Harley 6h AM;portraits/25-karine-gagnon-web.webp;Gagnon;motards;Fille de Thérèse Gagnon — sœur de Rock
Kevin Bérubé;Ti-Boeuf;Humain;26;Agent de sécurité — videur;La Baie;310, Chemin des Chutes;48.326078;-70.923605;Massif, cicatrice sourcil;Doudoune noire;Cogne portes;portraits/10-kevin-berube-web.webp;Bérubé;;Fils de Lucie Bérubé — frère de Jessy
Kim Boudreault;;Humain;29;Paramédic;La Baie;80, Rue du Docteur-Desgagné;48.3438;-70.8834;Cheveux courts, déterminée;Uniforme paramédic;Sac médical;portraits/79-kim-boudreault-web.webp;Boudreault;;Célibataire
Linda Tremblay;;Humain;43;Préposée d’entretien;La Baie;90, Rue Prince-Albert;48.3144;-70.86128;Cheveux raides, regard dur;Manteau K-Way;Clopes à la fenêtre;portraits/51-linda-tremblay-web.webp;Tremblay;Gratien;Conjointe de Gratien Tremblay
Lise Blackburn;;Humain;48;Travailleuse sociale — CLSC;La Baie;72, Rue du Docteur-Desgagné;48.3432;-70.8828;Cheveux courts, regard doux;Manteau CIUSSS;Cartable rose;portraits/89-lise-blackburn-web.webp;Blackburn;;Collègue de Ginette Roy
Louis Girard;;Humain;50;Comptable;La Baie;200, Rue Bagot;48.3384;-70.8852;Lunettes, calvitie naissante;Chemise et cravate lâche;Calculatrice;portraits/75-louis-girard-web.webp;Girard;;Époux d’Anne Girard
Luc Villeneuve;OVNI-Luc;Humain;49;Guetteur — Base de Bagotville;La Baie;Lieu-dit : Base de Bagotville, secteur ouest;48.3355;-70.936;Squelettique, camouflage;Camo;Jumelles 24h/24;portraits/143-luc-villeneuve-web.webp;Villeneuve;ciel;Célibataire — croise William McKenzie
Lucie Bérubé;;Humain;50;Préposée d’entrepôt;La Baie;310, Chemin des Chutes;48.3261;-70.9235;Fatiguée, hoodie;Hoodie;Lunch d’entrepôt;portraits/165-lucie-berube-web.webp;Bérubé;;Mère de Kevin, Jessy et tante de Big Jo
Lucie Côté;;Humain;70;Retraitée — ex- tri de la papetière;La Baie;425, Rue Victoria;48.34295;-70.8802;Petite, lunettes, chignon blanc;Robe maison;Radio CKRS;portraits/69-lucie-cote-web.webp;Côté;Victoria;Épouse de Fernand Côté
Lucien Lacroix;Abbé Lacroix / Le Curé;Humain;71;Prêtre — paroisse fermée;La Baie;21, Rue des Vingt-et-un;48.313361;-70.855877;Maigre, dos courbé;Manteau noir col curé;Thermos soupe pois;portraits/22-lucien-lacroix-web.webp;Lacroix;;Frère de Thérèse
Léa Pelletier;;Humain;21;Serveuse — Le Coin;La Baie;86, Rue Saint-Denis;48.31735;-70.8609;Mèches rousses, piercing nez;T-shirt du bar;Verre à polir;portraits/102-lea-pelletier-web.webp;Pelletier;bar;Fille d’Hugo et Sarah Pelletier
Léo Cloutier;Lio;Humain;9;Livreur de circulaires — porte-à-porte;La Baie;69, Rue des Bouleaux;48.34462;-70.89788;Taches de rousseur, mèche rousse qui dépasse de la tuque;Parka d’hiver trop grande, tuque bleue, mitaines trouées;Sac de toile et liasses de circulaires;portraits/171-leo-cloutier-web.webp;Cloutier;;Fils de Manon Cloutier — petit frère de Dave
Manon Cloutier;;Humain;41;Caissière — station-service;La Baie;67, Rue des Bouleaux;48.3446;-70.89835;Queue de cheval, cernes;Polo Couche-Tard;Cigarettes du relais;portraits/46-manon-cloutier-web.webp;Cloutier;;Mère de Dave Cloutier
Manon Lavoie;;Humain;49;Sans emploi fixe;La Baie;92, Rue Prince-Albert;48.3144;-70.8611;Cheveux teints, doudoune;Doudoune;Cell cassé;portraits/170-manon-lavoie-web.webp;Tremblay;Gratien;Mère de Cindy Lavoie
Manon Villeneuve;Manon-Louve;Humain;44;Motarde — Les Louves;La Baie;3908, Route de L'Anse-à-Benjamin;48.3804;-70.882;Tatouages fanés, regard dur;Veste cuir Les Louves;Cigarette au bec;portraits/112-manon-villeneuve-web.webp;Gagnon;motards;Bras droit de Karine Gagnon
Marc-André Simard;Simard;Humain;38;Opérateur — usine;La Baie;429, Rue Victoria;48.3428;-70.8806;Barbe de 3 jours, casquette;Chandail construction;Clés Ford F-150;portraits/43-marc-andre-simard-web.webp;Desrosiers-Simard;;Conjoint d’Anik Desrosiers
Marcel Bouchard;Le Prêteur;Humain;58;Prêteur sur gages — taux de ruelle;La Baie;100, Rue de la Fabrique;48.3424;-70.8783;Lourd, bagues;Survêtement;Boîte à cash;portraits/115-marcel-bouchard-web.webp;Bouchard;ruelle;Célibataire — Dévon lui doit
Marco Lapointe;Le Concierge;Humain;38;Concierge-gérant d'immeuble;La Baie;427, Rue Victoria;48.3437;-70.880871;Gros ventre, peau poisseuse, cheveux gras;Camisole beater tachée, short molleton;Bouteille 2L entre cuisses, caméra Wi-Fi 25$;portraits/02-marco-lapointe-web.webp;Lapointe;Marco;Fils de Gérard et Monique
Marie-Claude Brassard;MC;Humain;39;Ambulancière;La Baie;50, Rue des Pompiers;48.3362;-70.8817;Queue de cheval, sportive;Uniforme Urgences-santé;Stéthoscope;portraits/77-marie-claude-brassard-web.webp;Brassard;;Épouse d’Émile Brassard
Martine Lavoie;;Humain;55;Directrice — école secondaire de La Baie;La Baie;250, Rue de la Colline;48.3415;-70.8845;Lunettes, cardigan;Cardigan;Trousseau d’école;portraits/133-martine-lavoie-web.webp;Lavoie;école;Célibataire
Mathis Truchon;Ti-Pompe;Humain;20;Pompiste — dépanneur de route;La Baie;1456, Route du Petit-Parc;48.30545;-70.90805;Moustache naissante, casquette camo;Manteau de travail à bandes;Cigarette derrière l’oreille;;Truchon;;Fils d’Yvan Truchon et Gisèle
Maude Pedneault;La Zèbre;Humain;17;Arbitre — hockey mineur;La Baie;24, Avenue du Port;48.33045;-70.89445;Queue de cheval, regard décidé;Chandail rayé d’arbitre;Sifflet au cou;;Pedneault;;Petite-fille de Réjean et Céline Pedneault
Maxime Boivin;;Humain;40;Vétérinaire;La Baie;180, Rue Cimon;48.3428;-70.881;Barbe, blouse;Blouse véto;Stéthoscope animal;portraits/90-maxime-boivin-web.webp;Boivin;;Célibataire — véto du quartier
Michel Lavoie;Lady Dynamite;Humain;45;Drag queen — animatrice de bingo;La Baie;210, Rue Bagot;48.337959;-70.885939;Perruque blonde volumineuse, maquillage élégant;Veste paillettes;Anime bingo;portraits/23-michel-lavoie-web.webp;Lavoie;Michel;Fils de Claude
Mireille Joseph;Mamie Mireille;Humain;68;Gardienne d'enfants — herboriste;La Baie;160, Rue des Lilas;48.341885;-70.896035;Haïtienne, cheveux gris courts;Tablier cuisine;Thé plantes;portraits/27-mireille-joseph-web.webp;Joseph;;Mère de Samuel
Monique Bouchard;;Humain;64;Retraitée — ex-couturière;La Baie;700, Rue du Docteur-Tanguay;48.339524;-70.876985;Bouclés roux;Cardigan;Confiture bleuets;portraits/38-monique-bouchard-web.webp;Lapointe;Marco;Mère de Marco
Mélanie Dubé;Mélo;Humain;30;Éducatrice en CPE;La Baie;260, Rue de la Colline;48.341675;-70.88487;Claire, cheveux attachés;Chandail CPE;Porte-clés kid;portraits/15-melanie-dube-web.webp;Dubé;;Sœur de Carl
Nadia Benali;;Humain;40;Aide-caissière — dépanneur;La Baie;1312, Rue Victoria;48.34541;-70.8797;Hijab bleu marine, regard franc;Polo dépanneur;Calepin dettes;portraits/41-nadia-benali-web.webp;Benali;;Épouse d’Ahmed Benali
Nancy Dubois;;Humain;36;Serveuse de bar;La Baie;90, Rue Saint-Denis;48.3175;-70.86132;Petite, cheveux noirs;T-shirt du bar;Plateau de verres;portraits/58-nancy-dubois-web.webp;Dubois;;Sœur de Patrice Dubois
Natasha Vollant;;Humain;42;Guide — parc du Fjord-du-Saguenay;La Baie;Lieu-dit : sentier Eucher;48.356;-70.838;Innue, tresses, calme;Manteau outdoor;Jumelles;portraits/98-natasha-vollant-web.webp;Vollant;;Célibataire
Nathalie Bouchard;;Humain;48;Préposée IGA;La Baie;14, Rue des Mésanges;48.31795;-70.8981;Carré blond, lunettes;Tablier IGA;Sacs réutilisables;portraits/45-nathalie-bouchard-web.webp;Bouchard;Chloé;Mère de Chloé Bouchard
Noah Traoré;;Humain;14;Élève du secondaire — planchiste;La Baie;510, Rue Victoria;48.34315;-70.88015;Grand, écouteurs au cou;Hoodie trop grand, tuque;Planche à roulettes usée;;Traoré;;Neveu d’Amina Traoré
Normand Boucher;Norm;Humain;47;Ferrailleur — casse illégale;La Baie;2412, Chemin Saint-Anicet;48.33025;-70.9328;Cicatrice à la joue;Manteau de travail;Chalumeau;portraits/117-normand-boucher-web.webp;Boucher;;Cousin de Dévon et Éric Boucher
Nour Benali;;Humain;13;Élève du secondaire — aide au dépanneur;La Baie;1314, Rue Victoria;48.34545;-70.87975;Hijab beige, cahiers d’école empilés sous le comptoir;Fleece marine et jeans;Manuels scolaires ouverts sur le comptoir-caisse;portraits/172-nour-benali-web.webp;Benali;;Fille d’Ahmed et Nadia Benali — sœur d’Hassan
Océane Lapointe;Zamboni;Humain;22;Préposée à l’aréna — resurfaceuse;La Baie;720, Rue du Docteur-Tanguay;48.33955;-70.87655;Cheveux courts teints, l’air fière;Manteau de la Ville;Thermos cabossé;;Lapointe;Marco;Fille de Patrick Lapointe — nièce de Marco
Patrice Dubois;P'tit Pat;Humain;38;Videur de bar;La Baie;88, Rue Saint-Denis;48.317374;-70.861193;Petite stature 4'6, massive;Costume videur noir;Bras croisés;portraits/30-patrice-dubois-web.webp;Dubois;;Frère de Nancy
Paule Desbiens;;Humain;54;Notaire;La Baie;150, Rue Victoria;48.3412;-70.879;Cheveux châtains, lunettes;Tailleur gris;Cachet de notaire;portraits/81-paule-desbiens-web.webp;Desbiens;;Célibataire
Pauline Fortin;;Humain;56;Maraîchère — kiosque routier;La Baie;2100, Chemin Saint-Anicet;48.3287;-70.9277;Cheveux gris coupés court;Tablier de kiosque;Balance romaine;portraits/71-pauline-fortin-web.webp;Fortin;;Épouse d’Yves Fortin
Philippe Villeneuve;Dr Phil;Humain;59;Médecin — Hôpital de La Baie;La Baie;74, Rue du Docteur-Desgagné;48.3441;-70.8839;Cheveux gris, blouse;Blouse d’hôpital;Stylo poche;portraits/95-philippe-villeneuve-web.webp;Villeneuve;hôpital;Célibataire
Pierrette Simard;;Humain;64;Retraitée — ex-caissière IGA;La Baie;430, Rue Victoria;48.3429;-70.8808;Permanente, bijoux;Cardigan rose;Sac à provisions;portraits/92-pierrette-simard-web.webp;Desrosiers-Simard;;Mère de Marc-André Simard
Pisse-Feu;;Animal;7;Chat domestique;La Baie;427, Rue Victoria;48.342429;-70.87999;Roux sale, dreads;s.o.;Dort sur frigo;portraits/12-pisse-feu-web.webp;Lapointe;Marco;Chat du 427 Victoria
